,cnn_top4_equal,cnn_top4_riskadjusted,cnn_top4_threshold,bench_momentum,bench_equalweight
2025-01-02,99.5875,99.776,99.5875,99.9708,99.7034
2025-01-03,99.4332,100.1259,99.4332,100.0824,100.1093
2025-01-06,98.6351,98.9124,98.6351,98.7181,99.4521
2025-01-07,98.4116,98.9584,98.4116,97.9194,99.6667
2025-01-08,97.5471,98.9272,97.5471,97.645,99.8121
2025-01-10,97.3408,98.0967,97.3408,97.2759,99.0253
2025-01-13,97.6899,98.8229,97.6899,97.7351,99.6635
2025-01-14,97.6432,99.5257,97.6432,98.0461,100.3409
2025-01-15,96.904,99.5377,96.904,97.6761,100.6842
2025-01-16,97.7942,100.8158,97.7942,98.3079,101.5358
2025-01-17,98.2065,101.6083,98.2065,98.1351,102.0561
2025-01-21,99.1295,101.3722,99.1295,99.4571,102.9469
2025-01-22,98.1031,99.6293,98.1031,98.6767,102.3093
2025-01-23,98.9637,99.9552,98.9637,99.3823,103.21
2025-01-24,99.111,100.5077,99.111,99.1645,102.985
2025-01-27,101.412,104.2004,101.412,101.0429,104.4476
2025-01-28,100.9173,102.3302,100.9173,99.7279,103.2092
2025-01-29,100.7702,102.4566,100.7702,100.2769,103.0346
2025-01-30,101.3445,103.0445,101.3445,101.1105,104.3225
2025-01-31,101.3813,103.0023,101.3813,100.9974,103.5009
2025-02-03,102.2293,103.7197,102.2293,101.697,103.8443
2025-02-04,102.7033,103.4091,102.7033,101.6469,103.4161
2025-02-05,104.2717,104.1246,104.2717,101.5437,103.9742
2025-02-06,104.3188,103.8449,104.3188,100.3664,103.693
2025-02-07,103.8283,104.1641,103.8283,99.5769,103.3278
2025-02-10,104.5721,105.3937,104.5721,99.6719,103.7361
2025-02-11,104.7874,106.8392,104.7874,99.3587,104.3799
2025-02-12,105.5248,106.3848,105.5248,99.5887,103.8291
2025-02-13,105.8161,107.4772,105.8161,100.2814,104.2703
2025-02-14,105.2497,106.6724,105.2497,100.0678,103.6865
2025-02-18,105.1262,106.7192,105.1262,100.8765,104.2173
2025-02-19,106.1542,108.0077,106.1542,101.9053,105.1845
2025-02-20,105.7467,108.9424,105.7467,101.2673,105.2156
2025-02-21,106.249,110.9695,106.249,101.5807,104.9024
2025-02-24,106.9191,111.417,106.9191,101.7862,105.3392
2025-02-25,107.6602,112.9105,107.6602,102.1303,105.7274
2025-02-26,105.1425,111.2631,105.1425,101.5553,105.0067
2025-02-27,105.531,111.5068,105.531,101.3768,105.1197
2025-02-28,106.5955,112.6951,106.5955,102.9859,106.0829
2025-03-03,106.1345,114.9488,106.1345,102.0192,105.3652
2025-03-04,103.7151,112.7572,103.7151,100.1388,103.1422
2025-03-05,103.9244,111.9457,103.9244,100.2394,103.6645
2025-03-06,104.274,112.9444,104.274,99.7132,103.5221
2025-03-07,105.2255,114.6264,105.2255,101.8869,104.941
2025-03-10,105.2749,116.2307,105.2749,101.7229,104.7842
2025-03-11,105.1779,114.5403,105.1779,99.4386,103.1902
2025-03-12,104.7163,113.0968,104.7163,98.8143,102.8907
2025-03-13,105.6044,113.8805,105.6044,98.8389,102.8176
2025-03-14,105.7441,114.5426,105.7441,99.8584,104.1354
2025-03-17,106.2711,115.2638,106.2711,100.7238,105.1992
2025-03-18,106.04,114.9824,106.04,100.5372,104.8705
2025-03-19,107.2126,114.4426,107.2126,100.5885,105.6638
2025-03-20,107.0021,114.9574,107.0021,100.2729,105.3581
2025-03-21,107.9643,114.211,107.9643,100.4622,105.1439
2025-03-24,108.3518,114.0346,108.3518,100.8148,105.8055
2025-03-25,107.8213,113.2767,107.8213,100.4449,105.6564
2025-03-26,108.5262,114.9277,108.5262,101.2311,106.1354
2025-03-27,109.1508,115.8619,109.1508,101.4072,106.0176
2025-03-28,108.5192,115.9735,108.5192,100.973,105.312
2025-03-31,109.6909,118.2803,109.6909,101.656,106.2979
2025-04-01,106.7933,115.1708,106.7933,101.9557,105.9128
2025-04-02,106.11,114.5781,106.11,101.8758,105.7568
2025-04-03,105.6172,113.7331,105.6172,99.3671,102.5968
2025-04-04,99.8322,108.7002,99.8322,93.3934,96.457
2025-04-07,99.3622,107.3525,99.3622,92.7005,95.4078
2025-04-08,99.2761,106.7012,99.2761,92.3463,94.2501
2025-04-09,103.2136,110.9237,103.2136,98.2408,99.5596
2025-04-10,102.7652,108.8992,102.7652,97.0517,97.2876
2025-04-11,103.7505,109.7312,103.7505,98.3732,98.7236
2025-04-14,105.1498,110.7534,105.1498,99.9178,99.9472
2025-04-15,104.2183,110.6965,104.2183,99.2429,99.4435
2025-04-16,104.6441,109.8233,104.6441,98.8569,98.5283
2025-04-17,107.3985,112.0666,107.3985,100.4425,99.9125
2025-04-21,107.0392,111.3571,107.0392,99.2396,98.5235
2025-04-22,108.513,113.2012,108.513,101.1348,100.8854
2025-04-23,109.2139,112.8091,109.2139,102.9632,101.0679
2025-04-24,109.5668,113.3645,109.5668,101.8992,101.7221
2025-04-25,109.0336,112.9287,109.0336,102.4627,101.7087
2025-04-28,109.942,112.9503,109.942,103.4872,102.2379
2025-04-29,110.6623,113.8697,110.6623,103.9984,103.0236
2025-04-30,111.4218,114.1362,111.4218,104.8775,103.0124
2025-05-01,111.101,113.3326,111.101,104.0144,102.4273
2025-05-02,111.8666,114.4459,111.8666,105.4103,103.2322
2025-05-05,112.2701,114.2667,112.2701,105.8837,102.8142
2025-05-06,112.4179,114.4853,112.4179,105.8408,102.5902
2025-05-07,112.8393,118.4712,112.8393,106.5719,103.4527
2025-05-08,113.0019,118.2707,113.0019,106.3026,103.4862
2025-05-09,112.7662,117.4783,112.7662,105.8588,103.2879
2025-05-12,110.9595,117.0319,110.9595,105.9615,104.6919
2025-05-13,109.7314,115.6835,109.7314,106.7608,104.317
2025-05-14,108.982,115.6896,108.982,106.863,103.9643
2025-05-15,111.2742,118.0452,111.2742,109.566,105.8458
2025-05-16,112.4462,119.2821,112.4462,109.8801,106.8852
2025-05-19,112.9042,119.5729,112.9042,110.049,107.196
2025-05-20,113.8785,119.8375,113.8785,109.9831,107.1199
2025-05-21,112.7158,119.0761,112.7158,108.6454,105.8598
2025-05-22,112.1774,118.7747,112.1774,108.0838,105.4556
2025-05-23,112.5637,118.9411,112.5637,108.5213,105.4948
2025-05-27,112.3055,119.9104,112.3055,108.9406,106.471
2025-05-28,112.0966,119.192,112.0966,108.0567,105.3977
2025-05-29,112.9161,119.6924,112.9161,108.8572,105.5186
2025-05-30,114.1701,121.1052,114.1701,109.1101,105.9069
2025-06-02,114.7691,121.0861,114.7691,110.2774,105.8576
2025-06-03,114.2551,120.584,114.2551,110.3363,106.1341
2025-06-04,113.0214,119.8765,113.0214,109.9374,105.5297
2025-06-05,112.701,119.5549,112.701,109.3864,105.077
2025-06-06,113.0811,120.2935,113.0811,109.8297,105.8814
2025-06-09,113.64,120.8849,113.64,111.1322,106.0254
2025-06-10,113.357,121.8986,113.357,111.3279,106.4678
2025-06-11,113.2054,122.4457,113.2054,111.3535,106.5698
2025-06-12,112.271,122.5638,112.271,110.3012,106.6119
2025-06-13,112.0367,122.1159,112.0367,109.158,105.9286
2025-06-16,112.0882,121.934,112.0882,109.301,106.1284
2025-06-17,111.4368,120.7374,111.4368,108.6834,105.4553
2025-06-18,110.8268,120.4166,110.8268,108.0657,105.2126
2025-06-20,113.5585,120.1397,113.5585,107.9887,105.8892
2025-06-23,115.3637,121.2404,115.3637,109.8761,107.0069
2025-06-24,114.9718,121.6863,114.9718,110.6055,107.2019
2025-06-25,113.7591,121.1533,113.7591,109.7028,106.5195
2025-06-26,113.7849,121.4662,113.7849,110.4375,107.2024
2025-06-27,115.5426,122.1199,115.5426,112.0025,107.831
2025-06-30,114.9905,122.7227,114.9905,112.2768,108.1608
2025-07-01,115.2229,123.3089,115.2229,111.412,109.1527
2025-07-02,115.5127,122.8117,115.5127,111.6719,109.1386
2025-07-03,116.1915,123.4858,116.1915,112.8759,109.5925
2025-07-07,117.3786,123.7574,117.3786,113.7459,109.3947
2025-07-08,116.4073,122.7827,116.4073,113.4038,109.4015
2025-07-09,116.8841,121.8424,116.8841,114.2595,109.9229
2025-07-10,117.672,122.792,117.672,115.17,110.6948
2025-07-11,117.1892,122.2195,117.1892,115.1051,110.2745
2025-07-14,118.5119,122.2616,118.5119,116.763,110.3403
2025-07-15,118.151,121.9299,118.151,116.7462,109.4984
2025-07-16,120.1332,123.9788,120.1332,117.0063,110.2754
2025-07-17,119.6245,124.1067,119.6245,116.0622,110.5915
2025-07-18,119.2163,124.5615,119.2163,116.0969,110.2663
2025-07-21,120.0572,125.4171,120.0572,116.3081,110.429
2025-07-22,121.1052,126.4704,121.1052,116.0807,111.2785
2025-07-23,122.3085,126.0972,122.3085,119.2537,112.3512
2025-07-24,121.7573,126.678,121.7573,119.1264,111.8495
2025-07-25,121.493,127.0285,121.493,119.8472,112.1556
2025-07-28,120.06,124.6661,120.06,119.5129,111.5734
2025-07-29,119.3769,126.7754,119.3769,118.6244,111.5652
2025-07-30,120.2541,127.5911,120.2541,119.7635,111.1898
2025-07-31,119.8207,127.2304,119.8207,119.1174,110.1235
2025-08-01,120.7559,128.0903,120.7559,118.7783,109.6954
2025-08-04,121.6563,129.2142,121.6563,119.8588,110.6309
2025-08-05,122.2987,129.3105,122.2987,120.1206,110.5595
2025-08-06,123.4404,129.5458,123.4404,120.5818,110.6129
2025-08-07,124.1318,130.584,124.1318,120.8317,110.9118
2025-08-08,125.2161,131.178,125.2161,121.8407,111.3018
2025-08-11,125.6303,131.9909,125.6303,122.2111,111.025
2025-08-12,126.1765,131.859,126.1765,123.6621,111.7899
2025-08-13,124.9268,131.9348,124.9268,122.6538,112.3625
2025-08-14,124.4886,131.4262,124.4886,122.5894,111.6227
2025-08-15,125.6005,131.8206,125.6005,122.5659,111.3334
2025-08-18,125.2524,131.1213,125.2524,122.3296,111.1995
2025-08-19,125.2182,132.5835,125.2182,121.5892,111.849
2025-08-20,126.4566,133.8055,126.4566,122.2991,112.3657
2025-08-21,126.1757,133.6074,126.1757,122.3544,112.4286
2025-08-22,126.1876,133.4621,126.1876,123.1614,113.6077
2025-08-25,125.5568,132.1135,125.5568,122.4781,112.766
2025-08-26,125.7282,131.6058,125.7282,124.3214,112.7594
2025-08-27,125.4051,131.7159,125.4051,124.6553,113.0088
2025-08-28,125.003,131.0276,125.003,124.9797,113.0423
2025-08-29,125.6581,132.241,125.6581,125.0293,113.1802
2025-09-02,126.5086,132.6023,126.5086,125.3543,113.3049
2025-09-03,125.3898,132.0301,125.3898,124.3652,112.4465
2025-09-04,125.1183,131.6548,125.1183,124.799,112.8548
2025-09-05,124.8456,131.7141,124.8456,124.3295,112.6859
2025-09-08,124.7217,130.6139,124.7217,123.7756,112.3358
2025-09-09,124.3515,131.0066,124.3515,123.6682,112.2816
2025-09-10,123.6171,131.0072,123.6171,124.3756,112.2802
2025-09-11,123.2031,131.8663,123.2031,123.8137,113.0263
2025-09-12,123.1709,131.6302,123.1709,123.0625,112.3013
2025-09-15,122.3028,131.0553,122.3028,123.3348,112.1451
2025-09-16,121.6996,130.3055,121.6996,123.7968,112.0577
2025-09-17,122.1952,131.5329,122.1952,123.5981,112.6684
2025-09-18,120.636,129.9079,120.636,123.7287,112.5235
2025-09-19,121.2424,130.7084,121.2424,124.5583,112.4733
2025-09-22,119.3974,129.8038,119.3974,123.3642,111.926
2025-09-23,121.2905,131.5744,121.2905,125.0253,112.8634
2025-09-24,121.349,131.7757,121.349,124.4626,112.4577
2025-09-25,121.305,131.1705,121.305,124.0169,112.0194
2025-09-26,122.9576,132.0681,122.9576,125.7065,112.7565
2025-09-29,123.1299,132.8561,123.1299,125.1571,112.9191
2025-09-30,124.2274,133.6018,124.2274,126.7495,114.0291
2025-10-01,123.9328,133.6068,123.9328,127.0833,114.0104
2025-10-02,123.9172,132.7416,123.9172,127.5867,113.8654
2025-10-03,124.1585,133.5779,124.1585,128.4902,114.4125
2025-10-06,123.6879,133.1165,123.6879,128.6485,114.3853
2025-10-07,125.693,134.1755,125.693,128.2968,114.936
2025-10-08,126.3112,133.1668,126.3112,129.8079,115.1921
2025-10-09,125.0975,133.4191,125.0975,129.2403,114.2854
2025-10-10,124.756,133.5596,124.756,126.9514,112.9098
2025-10-13,124.4378,132.9936,124.4378,128.6391,113.5641
2025-10-14,125.3789,133.8389,125.3789,130.4395,114.8429
2025-10-15,125.1191,133.5713,125.1191,130.5648,114.5379
2025-10-16,124.5701,133.1235,124.5701,130.9735,113.8517
2025-10-17,125.3344,134.3804,125.3344,130.3988,114.4411
2025-10-20,125.7398,134.5192,125.7398,131.6996,115.4984
2025-10-21,124.4783,135.8988,124.4783,131.745,116.0928
2025-10-22,125.3438,135.8857,125.3438,130.0659,116.0363
2025-10-23,125.5332,135.4423,125.5332,131.637,116.6639
2025-10-24,125.0385,134.6127,125.0385,132.0321,116.6473
2025-10-27,125.2272,134.4745,125.2272,133.5375,117.1304
2025-10-28,124.3337,133.4749,124.3337,131.7846,116.1956
2025-10-29,121.5066,131.4373,121.5066,135.5745,115.5597
2025-10-30,117.2438,129.977,117.2438,135.6143,114.1639
2025-10-31,116.1534,129.705,116.1534,135.0656,113.4977
2025-11-03,116.3171,128.8381,116.3171,133.8745,112.0328
2025-11-04,115.945,129.4429,115.945,132.2875,111.5433
2025-11-05,115.395,129.1065,115.395,133.4627,111.8138
2025-11-06,115.5643,129.3416,115.5643,133.4357,111.9255
2025-11-07,116.2726,130.4668,116.2726,133.776,112.8934
