trial_id,input_window,output_window,MAE_train,MAE_val,params,epochs_trained,filters_1,filters_2,filters_3,kernel_1,kernel_2,kernel_3,dilation_2,dilation_3,spatial_dropout,dense_1,dense_2,dropout_1,dropout_2,learning_rate,batch_size
1,30,5,0.005476368579172402,0.00415060638481016,78327,29,96,32,64,5,3,3,1,2,0.05,256,64,0.1,0.05,0.001,64
10,30,5,0.005473970503348235,0.0041514718000337835,130647,38,64,64,128,5,7,5,2,4,0.15,128,128,0.1,0.05,0.001,256
13,30,5,0.005475464465131577,0.004151486832736529,120279,17,64,64,128,5,3,3,1,4,0.2,256,32,0.3,0.1,0.0003,128
3,30,5,0.005477879071956166,0.004151613568639842,80951,23,32,32,64,3,3,3,2,4,0.2,256,128,0.2,0.1,0.001,128
9,30,5,0.00547267404238542,0.0041523945936398415,69559,51,64,32,128,5,3,3,1,4,0.05,128,64,0.1,0.05,0.001,128
7,30,5,0.005474100257432921,0.0041524969335632106,131927,18,96,64,64,3,7,3,2,2,0.1,256,128,0.3,0.05,0.0001,64
8,30,5,0.005476237027060266,0.004152840338958051,125751,21,96,32,128,5,3,5,1,2,0.15,256,64,0.2,0.05,0.0005,256
15,30,5,0.0054744416562006,0.004152924336002615,74231,33,64,96,64,3,5,3,2,4,0.1,64,128,0.1,0.05,0.0005,128
12,30,5,0.005473967806565252,0.004152960468061334,110167,29,64,96,96,3,3,3,2,2,0.15,256,32,0.1,0.05,0.0003,64
11,30,5,0.005478089083045592,0.004153026585371068,53079,23,32,32,96,3,5,5,1,2,0.2,128,32,0.1,0.05,0.0005,64
4,30,5,0.005473237366251814,0.004153364164347131,75735,26,32,32,96,3,5,3,1,2,0.15,256,32,0.1,0.2,0.0001,64
14,30,5,0.0054726264857007535,0.004153968915982348,143831,41,32,64,128,5,7,5,2,4,0.15,256,64,0.3,0.2,0.001,256
6,30,5,0.005474152212122391,0.004154465169720122,105911,34,64,96,64,5,7,3,1,2,0.15,128,128,0.3,0.05,0.0003,256
2,30,5,0.005483975956542882,0.0041544806568133506,81495,18,32,64,128,5,7,3,2,4,0.2,128,32,0.1,0.05,0.001,128
5,30,5,0.0054724868715200934,0.0041709570337592206,57143,44,96,32,128,3,3,3,2,2,0.05,64,128,0.2,0.2,0.0003,256
