trial_id,input_window,output_window,MAE_train,MAE_val,params,epochs_trained,filters_1,filters_2,filters_3,kernel_1,kernel_2,kernel_3,dilation_2,dilation_3,spatial_dropout,dense_1,dense_2,dropout_1,dropout_2,learning_rate,batch_size
2,30,5,0.0054793414875863745,0.0041367089167203925,81495,32,32,64,128,5,7,3,2,4,0.2,128,32,0.1,0.05,0.001,128
6,30,5,0.005496016349098163,0.004137464148057054,105911,22,64,96,64,5,7,3,1,2,0.15,128,128,0.3,0.05,0.0003,256
3,30,5,0.005478413896452085,0.004137820645517863,80951,29,32,32,64,3,3,3,2,4,0.2,256,128,0.2,0.1,0.001,128
1,30,5,0.005478960863228685,0.0041383759632389935,78327,31,96,32,64,5,3,3,1,2,0.05,256,64,0.1,0.05,0.001,64
10,30,5,0.005475332704620928,0.004140710870250568,130647,34,64,64,128,5,7,5,2,4,0.15,128,128,0.1,0.05,0.001,256
12,30,5,0.005472671588323974,0.004141176887019654,110167,41,64,96,96,3,3,3,2,2,0.15,256,32,0.1,0.05,0.0003,64
4,30,5,0.005608265162509471,0.004141182370931168,75735,16,32,32,96,3,5,3,1,2,0.15,256,32,0.1,0.2,0.0001,64
8,30,5,0.005473864499128274,0.004141222637239542,125751,34,96,32,128,5,3,5,1,2,0.15,256,64,0.2,0.05,0.0005,256
14,30,5,0.005474514499335769,0.0041416904840117915,143831,29,32,64,128,5,7,5,2,4,0.15,256,64,0.3,0.2,0.001,256
13,30,5,0.005472431288192992,0.004142536669241546,120279,35,64,64,128,5,3,3,1,4,0.2,256,32,0.3,0.1,0.0003,128
11,30,5,0.005473452479729699,0.004142819564846585,53079,35,32,32,96,3,5,5,1,2,0.2,128,32,0.1,0.05,0.0005,64
7,30,5,0.0054723853785292225,0.004143217276499724,131927,37,96,64,64,3,7,3,2,2,0.1,256,128,0.3,0.05,0.0001,64
15,30,5,0.005472425815885461,0.004147437226153593,74231,50,64,96,64,3,5,3,2,4,0.1,64,128,0.1,0.05,0.0005,128
9,30,5,0.005485005131269847,0.004148042315559616,69559,22,64,32,128,5,3,3,1,4,0.05,128,64,0.1,0.05,0.001,128
5,30,5,0.005472667010997427,0.004155534289979734,57143,40,96,32,128,3,3,3,2,2,0.05,64,128,0.2,0.2,0.0003,256
