model,input_window,output_window,MAE_train,MAE_val,MAE_test,params,epochs_trained,filters,kernel_size,rnn_units,dense_units,spatial_dropout,dropout,learning_rate,batch_size,history_path,plot_path
CNN_GRU,10,30,0.0022016704136876802,0.001702837065127023,0.0023190932386777515,35351,38,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input10_output30_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input10_output30_loss_curve.png
CNN_LSTM,10,30,0.0022143203750876377,0.0017091305323815743,0.0023481380812438958,43415,14,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_LSTM_input10_output30_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_LSTM_input10_output30_loss_curve.png
CNN_BiGRU,10,30,0.002201630387401538,0.0017146198794259439,0.002333397317330835,67351,44,64,5,64,64,0.1,0.2,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_BiGRU_input10_output30_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_BiGRU_input10_output30_loss_curve.png
CNN_GRU,10,90,0.0012647034770073284,0.0009269096262917874,0.0012656627045105743,35351,33,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input10_output90_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input10_output90_loss_curve.png
CNN_LSTM,10,90,0.0012814264584010443,0.000933023662799931,0.0013117766367061877,43415,13,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_LSTM_input10_output90_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_LSTM_input10_output90_loss_curve.png
CNN_BiGRU,10,90,0.0012646404469018391,0.0009353746982950887,0.0012971797958824807,67351,40,64,5,64,64,0.1,0.2,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_BiGRU_input10_output90_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_BiGRU_input10_output90_loss_curve.png
CNN_GRU,30,1,0.011887075655868383,0.009027155177978531,0.01232610185655333,35351,12,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input30_output1_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input30_output1_loss_curve.png
CNN_LSTM,30,1,0.011835777091607559,0.009027903009538922,0.012286345620947277,43415,17,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_LSTM_input30_output1_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_LSTM_input30_output1_loss_curve.png
CNN_BiGRU,30,1,0.01183115321017198,0.009030646602638243,0.012307256865644224,67351,22,64,5,64,64,0.1,0.2,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_BiGRU_input30_output1_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_BiGRU_input30_output1_loss_curve.png
CNN_GRU,30,5,0.00547366894507027,0.004141185470722008,0.005597538451621016,35351,23,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_GRU_input30_output5_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_GRU_input30_output5_loss_curve.png
CNN_BiGRU,30,5,0.005473948253192874,0.004141261894705137,0.005613878806800622,67351,24,64,5,64,64,0.1,0.2,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_BiGRU_input30_output5_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_BiGRU_input30_output5_loss_curve.png
CNN_LSTM,30,5,0.005473467484852588,0.004141498578367115,0.0055978946986712545,43415,23,64,3,64,64,0.1,0.15,0.0003,128,data/mixtos/cnn_rnn_hybrid/history/hybrid_CNN_LSTM_input30_output5_history.csv,data/mixtos/cnn_rnn_hybrid/plots/hybrid_CNN_LSTM_input30_output5_loss_curve.png
