model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_1x100_relu,5,1,0.010934559264609019,0.00943111814558506,0.01505399521367348,500,14154
mlp_1x100_relu,5,5,0.005126866358292165,0.004276515915989876,0.006636096122000417,500,14154
mlp_1x100_relu,5,30,0.0021581412390550866,0.0017894826596602798,0.002938483890196339,500,14154
mlp_1x100_relu,5,90,0.0013306053219580948,0.0010471513960510492,0.0016774501371980817,500,14154
mlp_1x100_relu,10,1,0.010400214300811924,0.009502608329057693,0.016325759137749463,500,25884
mlp_1x100_relu,10,5,0.004962593871005461,0.004274456761777401,0.007651086584763524,500,25884
mlp_1x100_relu,10,30,0.0021225676909018016,0.0018022931180894375,0.003179109392475204,500,25884
mlp_1x100_relu,10,90,0.0013355616451029549,0.001055056694895029,0.0016107619961895907,500,25884
mlp_1x100_relu,30,1,0.009965686679874144,0.009791763499379158,0.01837147556242508,500,72804
mlp_1x100_relu,30,5,0.004846962293765016,0.004316461738198996,0.007611405817287561,500,72804
mlp_1x100_relu,30,30,0.0021848215190976945,0.0017689227825030684,0.0026522544452255077,500,72804
mlp_1x100_relu,30,90,0.001334828652751398,0.0010260463459417224,0.0014552027800314958,500,72804
mlp_1x100_relu,90,1,0.010557285966781437,0.009894059039652348,0.015689094132663145,500,213564
mlp_1x100_relu,90,5,0.005065073143363194,0.00443583307787776,0.006991508064716879,500,213564
mlp_1x100_relu,90,30,0.002218342593448212,0.0017938418313860893,0.002718045062324134,500,213564
mlp_1x100_relu,90,90,0.0013330797931373312,0.0010488333646208048,0.0016183645231622455,500,213564
