model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_2x100_bn_l2,5,1,0.14019614436025796,0.010845242999494076,0.1400859838908824,200,24823
mlp_2x100_bn_l2,5,5,0.05711832770251643,0.006385916378349066,0.05724929623813078,200,24823
mlp_2x100_bn_l2,5,30,0.008146849107011528,0.00545757170766592,0.008145736194564906,200,24823
mlp_2x100_bn_l2,5,90,0.00430069582713184,0.004267556127160788,0.00443402946709447,200,24823
mlp_2x100_bn_l2,10,1,0.016058048877887473,0.010253170505166054,0.016409282950347465,200,36323
mlp_2x100_bn_l2,10,5,0.010934211857638288,0.006510578561574221,0.01110022903342447,200,36323
mlp_2x100_bn_l2,10,30,0.0027338352339221204,0.0019305283203721046,0.0028949393326695373,200,36323
mlp_2x100_bn_l2,10,90,0.005071004509919053,0.0021908956114202738,0.005096560985884376,200,36323
mlp_2x100_bn_l2,30,1,0.013734740993678796,0.00941851269453764,0.014272058243800035,200,82323
mlp_2x100_bn_l2,30,5,0.007934129580859737,0.0050152260810136795,0.008083679036577125,200,82323
mlp_2x100_bn_l2,30,30,0.0039770985857451695,0.00242836051620543,0.004059008518730909,200,82323
mlp_2x100_bn_l2,30,90,0.002705777364460457,0.0023517035879194736,0.002770356177713759,200,82323
mlp_2x100_bn_l2,90,1,0.012536818855435975,0.0092859398573637,0.01338485822628834,200,220323
mlp_2x100_bn_l2,90,5,0.008090474781481003,0.0047795120626688,0.008194287225801209,200,220323
mlp_2x100_bn_l2,90,30,0.005067139375344113,0.00240367092192173,0.005116881489210414,200,220323
mlp_2x100_bn_l2,90,90,0.00286029376897781,0.0018036357359960675,0.002937793287902568,200,220323
