model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params
mlp_2x100_dropout,5,1,0.011587235751811526,0.009016776457428932,0.012272822474591044,200,24254
mlp_2x100_dropout,5,5,0.005363158265904706,0.0041583930142223835,0.005609923367906787,200,24254
mlp_2x100_dropout,5,30,0.0022157775204325026,0.0017669751541689038,0.0023890812557926244,200,24254
mlp_2x100_dropout,5,90,0.0013286614914595621,0.001025975914672017,0.0013711040150733605,200,24254
mlp_2x100_dropout,10,1,0.011589636695709784,0.009019296616315842,0.012269819305889587,200,35984
mlp_2x100_dropout,10,5,0.005362690784855998,0.004156406037509441,0.0056091277473807885,200,35984
mlp_2x100_dropout,10,30,0.0022163842412040876,0.001764432294294238,0.0023896423548815508,200,35984
mlp_2x100_dropout,10,90,0.0013286564629654257,0.0010282411240041256,0.0013719289948088084,200,35984
mlp_2x100_dropout,30,1,0.011596484851535695,0.009013363160192966,0.012282479370780586,200,82904
mlp_2x100_dropout,30,5,0.005362785582658861,0.0041518015787005424,0.0056113870939054,200,82904
mlp_2x100_dropout,30,30,0.00222589062239714,0.0017716411966830492,0.0023967640522885958,200,82904
mlp_2x100_dropout,30,90,0.0013379790706892207,0.0010380143066868186,0.0013864940078660091,200,82904
mlp_2x100_dropout,90,1,0.011603259584488379,0.009032449685037136,0.012293046316888543,200,223664
mlp_2x100_dropout,90,5,0.005370584780505867,0.004170434083789587,0.005623180430955733,200,223664
mlp_2x100_dropout,90,30,0.0022162837085843382,0.0017784192459657788,0.002397090263896217,200,223664
mlp_2x100_dropout,90,90,0.001331159863445819,0.0010375784477218986,0.001389491680877114,200,223664
