model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,best_epoch,best_val_loss,best_min_pred_std,best_first_last_diff,best_pair_ratio,n_params
mlp_4x100_gelu_dropout_l2,5,1,0.011243212531072522,0.009040408070568525,0.01242184453961936,327,297,0.009161297231912613,0.0002879330131690949,0.0008480869000777602,1.0,44454
mlp_4x100_gelu_dropout_l2,5,5,0.005283365527276063,0.004151490218036153,0.005598467614981371,289,259,0.004192917142063379,0.00010381229367339984,0.0007455843733623624,1.0,44454
mlp_4x100_gelu_dropout_l2,5,30,0.002154171518852523,0.001700964539659483,0.0023199017980025634,328,232,0.0017240450251847506,1.147753891928005e-06,3.492818450467894e-06,1.0,44454
mlp_4x100_gelu_dropout_l2,5,90,0.0012363003140971813,0.0009330528949190086,0.0012677587502950554,431,210,0.0010260173585265875,1.0139800679098698e-06,3.291062057542149e-06,1.0,44454
mlp_4x100_gelu_dropout_l2,10,1,0.010792935814534317,0.009178942788195657,0.012651271629674188,320,290,0.009404352866113186,0.000991334323771298,0.0007627143058925867,1.0,56184
mlp_4x100_gelu_dropout_l2,10,5,0.005096127458476053,0.004166183907377952,0.00564325273765625,291,261,0.004266451112926006,0.0004208166210446507,0.0006088439258746803,1.0,56184
mlp_4x100_gelu_dropout_l2,10,30,0.0021363503911029156,0.0016954195475696997,0.002319482087579099,372,342,0.0017074128845706582,6.453050445998088e-05,2.272726305818651e-05,1.0,56184
mlp_4x100_gelu_dropout_l2,10,90,0.0012358510321574443,0.0009326886229589081,0.0012678106468304688,446,210,0.001064531970769167,1.0991930139425676e-06,1.0430657312099356e-05,1.0,56184
mlp_4x100_gelu_dropout_l2,30,1,0.009830003956596802,0.00933362313331112,0.012767419173101561,333,303,0.009736486710608006,0.0016082915244624019,0.0005461201071739197,1.0,103104
mlp_4x100_gelu_dropout_l2,30,5,0.004567734985546231,0.004207659279647409,0.00578717221016599,359,329,0.0043872324749827385,0.0006789739709347486,0.006661682855337858,1.0,103104
mlp_4x100_gelu_dropout_l2,30,30,0.001988800683545041,0.001702519943110276,0.002359967258941987,290,260,0.0017839987995103002,0.000267772120423615,0.0005928846658207476,1.0,103104
mlp_4x100_gelu_dropout_l2,30,90,0.001195700133635589,0.0009302903695094052,0.0012852879737571502,303,273,0.0009600733174011111,8.979886479210109e-05,5.7993958762381226e-05,1.0,103104
mlp_4x100_gelu_dropout_l2,90,1,0.009205358115112831,0.009549238347289487,0.013049295040760647,320,290,0.010098963044583797,0.0027008643373847008,0.0031606315169483423,1.0,243864
mlp_4x100_gelu_dropout_l2,90,5,0.004216288893141179,0.0043160684689074955,0.0059147904613621495,345,315,0.004559544380754232,0.0012721576495096087,0.0019611003808677197,1.0,243864
mlp_4x100_gelu_dropout_l2,90,30,0.0017077081181555306,0.0017312419587860559,0.0024491706078680576,322,292,0.0018715752521529794,0.0003926025819964707,0.0007213783101178706,1.0,243864
mlp_4x100_gelu_dropout_l2,90,90,0.0010098970496323994,0.0009591779125225286,0.0014200843728991064,360,330,0.0010380480671301484,0.00021299773652572185,0.0003126636438537389,1.0,243864
