Date,duration_days
1962-01-05,
1962-01-11,6.0
1962-01-17,6.0
1962-01-23,6.0
1962-01-29,6.0
1962-02-02,4.0
1962-02-08,6.0
1962-02-14,6.0
1962-02-20,6.0
1962-02-27,7.0
1962-03-05,6.0
1962-03-09,4.0
1962-03-15,6.0
1962-03-21,6.0
1962-03-27,6.0
1962-04-02,6.0
1962-04-06,4.0
1962-04-12,6.0
1962-04-18,6.0
1962-04-25,7.0
1962-05-01,6.0
1962-05-07,6.0
1962-05-11,4.0
1962-05-17,6.0
1962-05-23,6.0
1962-05-29,6.0
1962-06-05,7.0
1962-06-11,6.0
1962-06-15,4.0
1962-06-21,6.0
1962-06-27,6.0
1962-07-03,6.0
1962-07-10,7.0
1962-07-16,6.0
1962-07-20,4.0
1962-07-26,6.0
1962-08-01,6.0
1962-08-07,6.0
1962-08-13,6.0
1962-08-17,4.0
1962-08-23,6.0
1962-08-29,6.0
1962-09-05,7.0
1962-09-11,6.0
1962-09-17,6.0
1962-09-21,4.0
1962-09-27,6.0
1962-10-03,6.0
1962-10-09,6.0
1962-10-15,6.0
1962-10-19,4.0
1962-10-25,6.0
1962-10-31,6.0
1962-11-07,7.0
1962-11-13,6.0
1962-11-19,6.0
1962-11-26,7.0
1962-11-30,4.0
1962-12-06,6.0
1962-12-12,6.0
1962-12-18,6.0
1962-12-24,6.0
1962-12-31,7.0
1963-01-07,7.0
1963-01-11,4.0
1963-01-17,6.0
1963-01-23,6.0
1963-01-29,6.0
1963-02-04,6.0
1963-02-08,4.0
1963-02-14,6.0
1963-02-20,6.0
1963-02-27,7.0
1963-03-05,6.0
1963-03-11,6.0
1963-03-15,4.0
1963-03-21,6.0
1963-03-27,6.0
1963-04-02,6.0
1963-04-08,6.0
1963-04-15,7.0
1963-04-19,4.0
1963-04-25,6.0
1963-05-01,6.0
1963-05-07,6.0
1963-05-13,6.0
1963-05-17,4.0
1963-05-23,6.0
1963-05-29,6.0
1963-06-05,7.0
1963-06-11,6.0
1963-06-17,6.0
1963-06-21,4.0
1963-06-27,6.0
1963-07-03,6.0
1963-07-10,7.0
1963-07-16,6.0
1963-07-22,6.0
1963-07-26,4.0
1963-08-01,6.0
1963-08-07,6.0
1963-08-13,6.0
1963-08-19,6.0
1963-08-23,4.0
1963-08-29,6.0
1963-09-05,7.0
1963-09-11,6.0
1963-09-17,6.0
1963-09-23,6.0
1963-09-27,4.0
1963-10-03,6.0
1963-10-09,6.0
1963-10-15,6.0
1963-10-21,6.0
1963-10-25,4.0
1963-10-31,6.0
1963-11-07,7.0
1963-11-13,6.0
1963-11-19,6.0
1963-11-26,7.0
1963-12-03,7.0
1963-12-09,6.0
1963-12-13,4.0
1963-12-19,6.0
1963-12-26,7.0
1964-01-02,7.0
1964-01-08,6.0
1964-01-14,6.0
1964-01-20,6.0
1964-01-24,4.0
1964-01-30,6.0
1964-02-05,6.0
1964-02-11,6.0
1964-02-17,6.0
1964-02-24,7.0
1964-02-28,4.0
1964-03-05,6.0
1964-03-11,6.0
1964-03-17,6.0
1964-03-23,6.0
1964-03-30,7.0
1964-04-03,4.0
