bar_type,input_window,output_window,status,n_bars_available,n_samples_total,n_train,n_test,n_assets,start_date,end_date,sequence_file
time,5,1,ok,16195,16190,14571,1619,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input5_output1.npz
time,5,5,ok,16195,16186,14567,1619,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input5_output5.npz
time,5,30,ok,16195,16161,14544,1617,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input5_output30.npz
time,5,90,ok,16195,16101,14490,1611,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input5_output90.npz
time,10,1,ok,16195,16185,14566,1619,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input10_output1.npz
time,10,5,ok,16195,16181,14562,1619,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input10_output5.npz
time,10,30,ok,16195,16156,14540,1616,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input10_output30.npz
time,10,90,ok,16195,16096,14486,1610,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input10_output90.npz
time,30,1,ok,16195,16165,14548,1617,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input30_output1.npz
time,30,5,ok,16195,16161,14544,1617,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input30_output5.npz
time,30,30,ok,16195,16136,14522,1614,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input30_output30.npz
time,30,90,ok,16195,16076,14468,1608,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input30_output90.npz
time,90,1,ok,16195,16105,14494,1611,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input90_output1.npz
time,90,5,ok,16195,16101,14490,1611,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input90_output5.npz
time,90,30,ok,16195,16076,14468,1608,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input90_output30.npz
time,90,90,ok,16195,16016,14414,1602,23,1962-01-03,2026-05-08,data/preprocessing/sequences/time/time_input90_output90.npz
count,5,1,ok,1012,1007,906,101,23,1962-02-14,2026-05-08,data/preprocessing/sequences/count/count_input5_output1.npz
count,5,5,ok,1012,1003,902,101,23,1962-02-14,2026-05-08,data/preprocessing/sequences/count/count_input5_output5.npz
count,5,30,ok,1012,978,880,98,23,1962-02-14,2026-05-08,data/preprocessing/sequences/count/count_input5_output30.npz
count,5,90,ok,1012,918,826,92,23,1962-02-14,2026-05-08,data/preprocessing/sequences/count/count_input5_output90.npz
