ticker,bar_type,mean_abs_return,return_std,missing_values
AEP,time,0.008865155759673555,0.013077529755912013,0
BA,time,0.01492329390599047,0.021386522574084885,0
CAT,time,0.013229143635777848,0.018672993432247202,0
CNP,time,0.010683442621516005,0.017252771386347305,0
CVX,time,0.011303483070491315,0.0161403719699128,0
DIS,time,0.013743517678954651,0.01982346301094636,0
DTE,time,0.00851827881475709,0.01249377586720985,0
ED,time,0.008183072629098223,0.012590873941317703,0
GD,time,0.013032184064229147,0.0188553155575256,0
GE,time,0.01194181973939173,0.01737505756066292,0
HON,time,0.012377941838225654,0.018190159671238763,0
HPQ,time,0.015823422981446112,0.02259997595917596,0
IBM,time,0.011030599229398391,0.015980751991086072,0
IP,time,0.013465618878620727,0.019373359787303642,0
JNJ,time,0.010055764309200944,0.014325298121330949,0
KO,time,0.009937758947104107,0.014373683989018862,0
KR,time,0.012443238916895114,0.01811659355590284,0
MMM,time,0.010357648522750063,0.014855889605602758,0
MO,time,0.011083785316930333,0.016038880574487532,0
MRK,time,0.011110064694219893,0.015727114228937078,0
MSI,time,0.015802710314108858,0.02293683103040591,0
PG,time,0.009140267981293507,0.013514155640207701,0
XOM,time,0.010171784557065513,0.014495589075669864,0
AEP,count,0.037767499680173296,0.05317597399357997,0
BA,count,0.06423596670843142,0.09122239877862212,0
CAT,count,0.056702339648162445,0.07508279923800992,0
CNP,count,0.042983393074347946,0.06477658968690884,0
CVX,count,0.0458058298057634,0.062937546422488,0
DIS,count,0.05802058991345457,0.07867642655346188,0
DTE,count,0.03433058045560169,0.04908648622840069,0
ED,count,0.03544606492202614,0.05526475884213659,0
GD,count,0.057869113262191386,0.07996447726710264,0
GE,count,0.049874964346069355,0.06965148324048542,0
HON,count,0.050395587994880184,0.07053546135948083,0
HPQ,count,0.06364289702830937,0.08482745399511854,0
IBM,count,0.04665275095838508,0.06332355009594533,0
IP,count,0.0577680342482549,0.07923657928816456,0
JNJ,count,0.041116824998797916,0.054704313397669214,0
KO,count,0.039181420472462834,0.0533664562436027,0
KR,count,0.05190492031420878,0.06954904881197449,0
MMM,count,0.04342551270531784,0.056702234589819094,0
MO,count,0.04811235604085617,0.06406922838129371,0
MRK,count,0.04650194384537262,0.060874315169023176,0
MSI,count,0.06371729592203834,0.08601171680001331,0
PG,count,0.035702216654596594,0.04946294981336404,0
XOM,count,0.03689832174299686,0.051330667373620194,0
AEP,volume,0.03581911379006306,0.050102481891370565,0
BA,volume,0.0633308892691697,0.09683072172779036,0
CAT,volume,0.05788128029789291,0.07652261556262734,0
CNP,volume,0.04413964560223905,0.06696392496093054,0
CVX,volume,0.04517448123561351,0.0634944266620904,0
DIS,volume,0.05562542249184661,0.08583517149224801,0
DTE,volume,0.03569170596788553,0.05081434893858738,0
ED,volume,0.03462883522468522,0.060901524798161466,0
GD,volume,0.05237048367539118,0.0823414313106928,0
GE,volume,0.05109544101186927,0.069864027952922,0
HON,volume,0.049498266930098074,0.07383904622435825,0
HPQ,volume,0.06362646467541769,0.08965086708789421,0
IBM,volume,0.04774813548459151,0.06756150829975867,0
IP,volume,0.054877346367967955,0.07405416771692072,0
JNJ,volume,0.039433442821718206,0.05859188413241252,0
KO,volume,0.04054164511415661,0.0625777681012663,0
KR,volume,0.0510344553572726,0.07320061445573117,0
MMM,volume,0.04147732285695584,0.057356184507836146,0
MO,volume,0.04642088875038274,0.06480541210753311,0
MRK,volume,0.04490505061958531,0.061256728375078194,0
MSI,volume,0.06302738488575431,0.09135920772267091,0
PG,volume,0.036502550763174116,0.05404926409990998,0
XOM,volume,0.03901688480275166,0.054772665433871916,0
AEP,dollar,0.03008486722923467,0.04800842618133837,0
BA,dollar,0.04842096186487327,0.07694531928175287,0
CAT,dollar,0.04601909468618764,0.06568113749251236,0
CNP,dollar,0.03614485772173948,0.06315874341340719,0
CVX,dollar,0.03648413835024302,0.056592934261991516,0
DIS,dollar,0.03931280490859537,0.06760362320114771,0
DTE,dollar,0.028946713887214676,0.048889502803969906,0
ED,dollar,0.028445824537286113,0.05414090924769824,0
GD,dollar,0.035677319683986713,0.06331724860494914,0
GE,dollar,0.04495487870828256,0.06783146442275384,0
HON,dollar,0.0369603024639289,0.06341747566670398,0
HPQ,dollar,0.04961842589105643,0.07848348880041515,0
IBM,dollar,0.03800972805899084,0.06510086001590801,0
IP,dollar,0.04517744924491027,0.06895135399710318,0
JNJ,dollar,0.026980915531766448,0.04532361949098109,0
KO,dollar,0.02825733746091436,0.053510645106822796,0
KR,dollar,0.04058492281991017,0.07441073028655112,0
MMM,dollar,0.033452988901463816,0.05053024224191116,0
MO,dollar,0.03583475778001433,0.062040672195458633,0
MRK,dollar,0.03674724454660048,0.05996447730993658,0
MSI,dollar,0.04337304830975564,0.07484458304407494,0
PG,dollar,0.026715650001634,0.04888693559025968,0
XOM,dollar,0.034027520669357963,0.05048304028381315,0
