Date,total_volume,total_dollar,valid_close_assets,valid_volume_assets
1962-01-02,10928249,2112312.769651305,23,23
1962-01-03,17247261,2500944.14460757,23,23
1962-01-04,13539399,2201601.0166150704,23,23
1962-01-05,12668601,2264614.409494981,23,23
1962-01-08,14676256,2919912.640294064,23,23
1962-01-09,10309505,2411058.9142463654,23,23
1962-01-10,12958253,1845148.2658508122,23,23
1962-01-11,10272409,2114034.849873483,23,23
1962-01-12,12224267,2706549.3855133094,23,23
1962-01-15,8305678,1849435.138275452,23,23
1962-01-16,9271249,1542668.7726126947,23,23
1962-01-17,9415526,1905339.3058215491,23,23
1962-01-18,10820490,1952265.7798004076,23,23
1962-01-19,10370443,2073071.7645229623,23,23
1962-01-22,9413894,1802943.4186406583,23,23
1962-01-23,8886081,1789393.1701647416,23,23
1962-01-24,9531994,1828711.6913067475,23,23
1962-01-25,10798510,2233690.422689639,23,23
1962-01-26,10784528,1819046.6952478029,23,23
1962-01-29,7124401,1872769.0027945116,23,23
1962-01-30,11049536,2503347.8023459613,23,23
1962-01-31,16265701,3724393.463064231,23,23
1962-02-01,14632780,3193483.0861045495,23,23
1962-02-02,13482348,2650219.6329075806,23,23
1962-02-05,10955740,1993458.2072597854,23,23
1962-02-06,10008861,1635470.4740727358,23,23
1962-02-07,11601895,1982561.5743928626,23,23
1962-02-08,9775838,1335471.0206881799,23,23
1962-02-09,8351047,1772724.0873183794,23,23
1962-02-12,4516791,1079722.3169471473,23,23
1962-02-13,8082637,1537662.7529820688,23,23
1962-02-14,6785157,1373439.163469933,23,23
1962-02-15,7313845,1454797.8159142844,23,23
1962-02-16,11874779,1898611.2611862049,23,23
1962-02-19,8326783,1639458.431064345,23,23
1962-02-20,8593601,1729146.6559347585,23,23
1962-02-21,7498275,1695601.5400740579,23,23
1962-02-23,8358873,1661543.6660636738,23,23
1962-02-26,9731172,1782262.3785771728,23,23
1962-02-27,7602773,1722242.4615836926,23,23
1962-02-28,7511751,1560491.0016983747,23,23
1962-03-01,25114606,2148529.2156255133,23,23
1962-03-02,7817616,1443013.6643881835,23,23
1962-03-05,7600913,1484475.0452828705,23,23
1962-03-06,7277173,1266421.7854568064,23,23
1962-03-07,8521824,1192140.361444205,23,23
1962-03-08,7014880,1424574.2349529378,23,23
1962-03-09,8373860,1531432.508137256,23,23
1962-03-12,8035350,1576796.2984100543,23,23
1962-03-13,8944593,1445837.951870419,23,23
1962-03-14,10932450,1791042.198105704,23,23
1962-03-15,7373294,1589490.3332447298,23,23
1962-03-16,5892143,1097543.7840368226,23,23
1962-03-19,6850627,1501211.340613857,23,23
1962-03-20,7929250,1333562.5178509653,23,23
1962-03-21,11103822,1829342.583538495,23,23
1962-03-22,6964152,1415271.2072572708,23,23
1962-03-23,9941017,1453650.5285790116,23,23
1962-03-26,8069368,1045788.4529123008,23,23
1962-03-27,13625761,1468197.0186492242,23,23
1962-03-28,9301796,1409135.6394195855,23,23
1962-03-29,6994339,1229014.5617358163,23,23
1962-03-30,10735727,1789940.6538902186,23,23
1962-04-02,7575963,1565829.7474587746,23,23
1962-04-03,10902464,2348404.347135119,23,23
1962-04-04,10880936,1865316.264264185,23,23
1962-04-05,12532303,2527729.9531119317,23,23
1962-04-06,10965939,1609936.624808848,23,23
1962-04-09,8915632,852081.656503085,23,23
1962-04-10,14371829,1325791.8409156501,23,23
1962-04-11,10039319,1573815.9647968635,23,23
1962-04-12,10248486,1722131.9149021655,23,23
1962-04-13,12084141,2108038.5265332013,23,23
1962-04-16,11431854,1981251.1305145659,23,23
1962-04-17,8127404,1374584.8926282004,23,23
1962-04-18,9973228,1873294.4681978822,23,23
1962-04-19,7605809,1401529.1648496613,23,23
1962-04-23,7466569,1413685.4857450016,23,23
1962-04-24,8143348,1779821.5189954974,23,23
1962-04-25,9027886,1855937.9251574986,23,23
1962-04-26,9740039,2454904.6048983335,23,23
1962-04-27,12166563,3510003.3001010567,23,23
1962-04-30,12350612,4397436.635253694,23,23
1962-05-01,17039247,8308008.929503363,23,23
1962-05-02,13176576,4729929.901848517,23,23
1962-05-03,10080419,3112785.158574749,23,23
1962-05-04,8633511,1960820.5657734908,23,23
1962-05-07,7067966,2009509.3212703876,23,23
1962-05-08,8275461,2277764.7930421047,23,23
1962-05-09,11156911,3192178.340417389,23,23
1962-05-10,13951892,3798684.0503307246,23,23
1962-05-11,15006515,3763993.9055486657,23,23
1962-05-14,19753118,5377500.054799445,23,23
1962-05-15,14677084,3726911.158070728,23,23
1962-05-16,9059459,2266243.2880672216,23,23
1962-05-17,10045131,2226358.017568905,23,23
1962-05-18,9685824,1846179.47095076,23,23
1962-05-21,7429461,1245292.6659755781,23,23
1962-05-22,12462345,2252204.3286871538,23,23
1962-05-23,18849025,5055103.618130937,23,23
1962-05-24,22258700,6584484.6191702485,23,23
1962-05-25,22645683,6607308.169763766,23,23
1962-05-28,38903540,7219046.700362813,23,23
1962-05-29,54762325,9182000.180546973,23,23
1962-05-31,37585701,7784908.259430613,23,23
1962-06-01,19224729,4404174.272936907,23,23
1962-06-04,20661011,3578127.650763627,23,23
1962-06-05,29004509,5355630.489463838,23,23
1962-06-06,19264272,4261021.538724158,23,23
1962-06-07,9544420,2086678.5914843902,23,23
1962-06-08,11757225,2113563.708400447,23,23
1962-06-11,12018735,2175666.9036170766,23,23
1962-06-12,17765124,4454620.097420432,23,23
1962-06-13,24892085,5730628.946366206,23,23
1962-06-14,27712351,7270358.445478357,23,23
1962-06-15,33687953,8989798.437608302,23,23
1962-06-18,18369256,5915587.496573577,23,23
1962-06-19,10327337,2704073.2937323116,23,23
1962-06-20,14767939,3852373.5129994173,23,23
1962-06-21,16077613,4541206.9100096375,23,23
1962-06-22,20099036,4707889.467163358,23,23
1962-06-25,28037301,5748226.703715842,23,23
1962-06-26,18695856,4489730.416407563,23,23
1962-06-27,15869432,3817366.6853971705,23,23
1962-06-28,22809157,5778681.846362837,23,23
1962-06-29,18074834,4063764.003088873,23,23
1962-07-02,18275873,2796550.2565255463,23,23
1962-07-03,20491571,3955507.8901658356,23,23
1962-07-05,11599912,2930885.4287739918,23,23
1962-07-06,10332250,2521118.5737544447,23,23
1962-07-09,10432232,2761233.767876748,23,23
1962-07-10,23975744,5268867.195539009,23,23
1962-07-11,16006281,4649006.634164929,23,23
1962-07-12,19029303,5085142.569092788,23,23
1962-07-13,9831651,3153525.8096993044,23,23
1962-07-16,10661307,2621826.7572662383,23,23
1962-07-17,12476331,3302532.324187234,23,23
1962-07-18,13957423,3618920.672512265,23,23
1962-07-19,9566181,3067379.0296072923,23,23
1962-07-20,8057268,1470091.036154136,23,23
1962-07-23,6132722,1566045.065259032,23,23
1962-07-24,7798795,1684564.6293522492,23,23
1962-07-25,8776136,2634202.9953923225,23,23
1962-07-26,8304921,2257501.697395576,23,23
1962-07-27,7694825,1884627.9331642687,23,23
1962-07-30,10116570,3972435.9881102256,23,23
1962-07-31,16413838,4597229.171709873,23,23
1962-08-01,8740415,2230592.971114788,23,23
1962-08-02,12116121,2714932.3497025743,23,23
1962-08-03,7999602,1956332.2241688594,23,23
1962-08-06,20644438,8351305.1517245155,23,23
1962-08-07,8418797,1927578.692105757,23,23
1962-08-08,10035392,2531276.560134016,23,23
1962-08-09,7868341,2132346.0652884487,23,23
1962-08-10,9007309,1995878.2623223737,23,23
1962-08-13,7012560,1847102.2249712907,23,23
1962-08-14,12402643,3325854.997899577,23,23
1962-08-15,15258783,3926835.464399468,23,23
1962-08-16,11992015,2735101.5010528155,23,23
1962-08-17,10991697,2603693.5181394145,23,23
1962-08-20,19290351,3667850.8565765545,23,23
1962-08-21,9972686,2405312.341375828,23,23
1962-08-22,13212142,4923033.307339314,23,23
1962-08-23,12164620,4740531.001839917,23,23
1962-08-24,8330320,2428270.9339757375,23,23
1962-08-27,8666367,2065131.6084742844,23,23
1962-08-28,9726575,3834424.118164694,23,23
1962-08-29,10164495,3533990.498654455,23,23
1962-08-30,6183831,1703500.4109349176,23,23
1962-08-31,6259610,2023996.1657059938,23,23
1962-09-04,7816955,2566188.100010805,23,23
1962-09-05,9076611,3347452.8830974754,23,23
1962-09-06,9591411,3015109.734098114,23,23
1962-09-07,8298445,2323422.5445944034,23,23
1962-09-10,6677060,2470004.523774348,23,23
1962-09-11,7385026,2417893.2491916735,23,23
1962-09-12,8690859,2363738.0980283096,23,23
1962-09-13,7596440,2087977.4632656593,23,23
1962-09-14,7768212,2198192.1604801044,23,23
1962-09-17,8875941,2566228.6463975236,23,23
1962-09-18,10197840,3564404.28477522,23,23
1962-09-19,7993120,2363350.6059245206,23,23
1962-09-20,8977055,1957521.8479967974,23,23
1962-09-21,12848695,3410615.72688926,23,23
1962-09-24,13713590,3929532.5502442233,23,23
1962-09-25,10715765,3469633.086792417,23,23
1962-09-26,10587912,3040422.6655293815,23,23
1962-09-27,10668048,3800682.07023092,23,23
1962-09-28,8000985,2201350.936810069,23,23
1962-10-01,11243758,2572939.2521966733,23,23
1962-10-02,10876715,3714187.5831313245,23,23
1962-10-03,9067165,2457595.2785441875,23,23
1962-10-04,6553408,1933907.7811509036,23,23
1962-10-05,8689715,2514172.4685466215,23,23
1962-10-08,6212644,1240689.4364127181,23,23
1962-10-09,8668943,2079871.844031565,23,23
1962-10-10,9034030,2585963.0725740604,23,23
1962-10-11,7323170,2032006.8471701033,23,23
1962-10-12,6248250,1562097.4052858353,23,23
1962-10-15,8674767,1829372.3474786542,23,23
1962-10-16,8073137,2066322.5758527555,23,23
1962-10-17,10123785,2427753.132726345,23,23
1962-10-18,9149529,1831341.9415668324,23,23
1962-10-19,18320131,3643835.264381673,23,23
1962-10-22,18865410,4099049.6520376634,23,23
1962-10-23,20553916,4096262.620914772,23,23
1962-10-24,22638479,5354917.200200677,23,23
1962-10-25,15907293,3572899.485714067,23,23
1962-10-26,6222747,1929301.8800490797,23,23
1962-10-29,13385749,4306858.737715306,23,23
1962-10-30,11865708,3612575.8801983446,23,23
1962-10-31,11312194,2093856.9590133987,23,23
1962-11-01,12332911,3030734.6022325605,23,23
1962-11-02,25245608,5489731.244630095,23,23
1962-11-05,13405049,3193706.677145686,23,23
1962-11-07,14943409,3394972.2153541334,23,23
1962-11-08,15941884,3333907.394584652,23,23
1962-11-09,13216011,2596378.7600052804,23,23
1962-11-12,11658464,3587045.7554974854,23,23
1962-11-13,13466672,3705948.076519277,23,23
1962-11-14,13015756,3455066.886017807,23,23
1962-11-15,14322238,3777852.9197561927,23,23
1962-11-16,16187015,3399105.430803936,23,23
1962-11-19,10868763,2127585.5509645008,23,23
1962-11-20,14550394,2925646.828184331,23,23
1962-11-21,17951541,3300232.6426594704,23,23
1962-11-23,19447373,5157959.148592975,23,23
1962-11-26,33099578,6641189.674041275,23,23
1962-11-27,17385266,4011086.7332205474,23,23
1962-11-28,17392266,4770523.7843123,23,23
1962-11-29,14616582,3739451.7623721063,23,23
1962-11-30,14610238,2979934.9607724883,23,23
1962-12-03,11155010,2494268.4470076524,23,23
1962-12-04,16178296,3653069.1944560837,23,23
1962-12-05,20683036,4845192.384181142,23,23
1962-12-06,10603078,2874600.1440367736,23,23
1962-12-07,9412494,2342537.478780018,23,23
1962-12-10,12598504,3075855.8290399034,23,23
1962-12-11,9991962,2554538.005184483,23,23
1962-12-12,10889753,2357672.2357898504,23,23
1962-12-13,8330165,2145397.3333137594,23,23
1962-12-14,11509723,2163675.9229546487,23,23
1962-12-17,10287888,2108912.24679558,23,23
1962-12-18,9590003,2062692.9685903005,23,23
1962-12-19,10167432,2759425.1680256873,23,23
1962-12-20,10550210,2552155.819910597,23,23
1962-12-21,7903098,1948536.6473255195,23,23
1962-12-24,8589741,1590014.001717236,23,23
1962-12-26,5915775,1545989.2367567867,23,23
1962-12-27,7089564,1760617.473650623,23,23
1962-12-28,8120007,1649694.588812165,23,23
1962-12-31,10718568,2230778.2768709064,23,23
1963-01-02,9150168,3289355.3074489776,23,23
1963-01-03,14124448,2456843.9352143817,23,23
1963-01-04,11948874,3150377.567820737,23,23
1963-01-07,8521681,2131263.5610906407,23,23
1963-01-08,11322036,3444638.1312901787,23,23
1963-01-09,13740241,3571499.5417889357,23,23
1963-01-10,14077811,3280626.042139126,23,23
1963-01-11,15594496,2943520.03136375,23,23
1963-01-14,16583260,4313999.672590785,23,23
1963-01-15,14285209,3705483.2540454585,23,23
1963-01-16,11761585,2590805.2199442796,23,23
1963-01-17,10302356,2568799.590357842,23,23
1963-01-18,8915039,2022160.6662337817,23,23
1963-01-21,9043489,2067828.3561044522,23,23
1963-01-22,10017972,2223432.2860332355,23,23
1963-01-23,7179552,1868362.4546659552,23,23
1963-01-24,10258345,2183719.393782817,23,23
1963-01-25,13090659,1989049.1433846913,23,23
1963-01-28,12690043,3037072.0371220857,23,23
1963-01-29,9975815,2045006.2933757715,23,23
1963-01-30,7663851,1792019.3706775382,23,23
1963-01-31,11056417,2370351.308133237,23,23
1963-02-01,16355777,1927722.0993957147,23,23
1963-02-04,9253180,1823891.3655503988,23,23
1963-02-05,15123613,2094368.2747662067,23,23
1963-02-06,11158632,1808722.7581900656,23,23
1963-02-07,8365223,1673199.2552683465,23,23
1963-02-08,8736528,1690540.666360572,23,23
1963-02-11,9111688,1667817.7224948183,23,23
1963-02-12,7776355,1857567.2641250994,23,23
1963-02-13,8529375,1748495.388765689,23,23
1963-02-14,14076390,2086615.1552120075,23,23
1963-02-15,23197100,1866791.5512536801,23,23
1963-02-18,10556390,1599015.0980118774,23,23
1963-02-19,11813336,2001877.171499014,23,23
1963-02-20,8933181,2033821.5198565312,23,23
1963-02-21,7918150,1844385.6575937793,23,23
1963-02-25,8405355,1648638.6359414235,23,23
1963-02-26,10425154,2096819.9028254226,23,23
1963-02-27,10788408,1747862.869232688,23,23
1963-02-28,9693759,2260713.9726332054,23,23
1963-03-01,14964364,2240764.1841679066,23,23
1963-03-04,7792429,1673981.7036461905,23,23
1963-03-05,6952991,1290343.07977218,23,23
1963-03-06,7320990,1223785.503320627,23,23
1963-03-07,10859789,1730052.9993841536,23,23
1963-03-08,8887948,1247041.4082745295,23,23
1963-03-11,9998310,1430649.9634944592,23,23
1963-03-12,12230751,1381379.8366080914,23,23
1963-03-13,11855281,1521741.114905294,23,23
1963-03-14,8342160,1457184.8042074256,23,23
1963-03-15,10050498,1617924.3270020783,23,23
1963-03-18,7660740,1256579.5312722232,23,23
1963-03-19,18194773,1335122.656454429,23,23
1963-03-20,6539432,1312447.4695929158,23,23
1963-03-21,7408757,1652666.501230266,23,23
1963-03-22,9625672,1499375.447169695,23,23
