Date,duration_days
1962-03-01,
1962-05-04,64.0
1962-06-07,34.0
1962-07-12,35.0
1962-09-11,61.0
1962-11-05,55.0
1962-12-20,45.0
1963-02-15,57.0
1963-04-18,62.0
1963-06-13,56.0
1963-08-13,61.0
1963-10-14,62.0
1963-11-26,43.0
1964-01-20,55.0
1964-03-16,56.0
1964-05-04,49.0
1964-07-06,63.0
1964-09-11,67.0
1964-11-18,68.0
1965-01-20,63.0
1965-03-15,54.0
1965-05-10,56.0
1965-07-09,60.0
1965-09-10,63.0
1965-10-28,48.0
1965-12-16,49.0
1966-02-01,47.0
1966-03-14,41.0
1966-04-21,38.0
1966-06-08,48.0
1966-08-02,55.0
1966-09-23,52.0
1966-11-07,45.0
1966-12-16,39.0
1967-01-24,39.0
1967-03-02,37.0
1967-04-12,41.0
1967-05-22,40.0
1967-07-07,46.0
1967-08-09,33.0
1967-09-22,44.0
1967-11-08,47.0
1967-12-21,43.0
1968-02-01,42.0
1968-03-18,46.0
1968-04-18,31.0
1968-05-29,41.0
1968-07-12,44.0
1968-09-05,55.0
1968-10-18,43.0
1968-12-09,52.0
1969-01-28,50.0
1969-03-21,52.0
1969-05-09,49.0
1969-06-25,47.0
1969-07-31,36.0
1969-09-17,48.0
1969-10-22,35.0
1969-11-21,30.0
1969-12-30,39.0
1970-02-02,34.0
1970-03-02,28.0
1970-04-02,31.0
1970-05-04,32.0
1970-05-27,23.0
1970-06-22,26.0
1970-07-23,31.0
1970-08-20,28.0
1970-09-18,29.0
1970-10-14,26.0
1970-11-17,34.0
1970-12-14,27.0
1971-01-14,31.0
1971-02-09,26.0
1971-03-11,30.0
1971-04-12,32.0
1971-05-11,29.0
1971-06-18,38.0
1971-07-29,41.0
1971-09-02,35.0
1971-10-14,42.0
1971-11-19,36.0
1971-12-16,27.0
1972-01-17,32.0
1972-02-23,37.0
1972-03-30,36.0
1972-05-05,36.0
1972-06-15,41.0
1972-08-01,47.0
1972-09-11,41.0
1972-10-18,37.0
1972-11-21,34.0
1972-12-29,38.0
1973-01-26,28.0
1973-02-26,31.0
1973-03-29,31.0
1973-05-02,34.0
1973-05-30,28.0
1973-07-05,36.0
1973-08-09,35.0
1973-09-14,36.0
1973-10-10,26.0
1973-11-12,33.0
1973-12-06,24.0
1974-01-08,33.0
1974-02-06,29.0
1974-03-11,33.0
1974-04-16,36.0
1974-05-22,36.0
1974-06-27,36.0
1974-07-30,33.0
1974-08-23,24.0
1974-09-18,26.0
1974-10-09,21.0
1974-10-30,21.0
1974-11-21,22.0
1974-12-20,29.0
1975-01-16,27.0
1975-02-05,20.0
1975-02-24,19.0
1975-03-13,17.0
1975-04-04,22.0
1975-04-24,20.0
1975-05-15,21.0
1975-06-10,26.0
1975-07-09,29.0
1975-08-05,27.0
1975-08-29,24.0
1975-09-30,32.0
1975-10-27,27.0
1975-11-21,25.0
1975-12-22,31.0
1976-01-16,25.0
1976-02-02,17.0
1976-02-20,18.0
1976-03-11,20.0
1976-04-01,21.0
1976-04-23,22.0
1976-05-13,20.0
1976-06-07,25.0
1976-06-28,21.0
1976-07-20,22.0
1976-08-12,23.0
1976-09-01,20.0
1976-09-23,22.0
1976-10-15,22.0
1976-11-10,26.0
1976-12-03,23.0
1976-12-21,18.0
1977-01-11,21.0
1977-01-28,17.0
1977-02-16,19.0
1977-03-10,22.0
1977-03-31,21.0
1977-04-21,21.0
1977-05-11,20.0
1977-06-01,21.0
1977-06-22,21.0
1977-07-19,27.0
1977-08-11,23.0
1977-09-01,21.0
1977-09-30,29.0
1977-10-25,25.0
1977-11-15,21.0
1977-12-07,22.0
1978-01-03,27.0
1978-01-24,21.0
1978-02-14,21.0
1978-03-10,24.0
1978-04-05,26.0
1978-04-19,14.0
1978-05-02,13.0
1978-05-16,14.0
1978-06-02,17.0
1978-06-15,13.0
1978-07-10,25.0
1978-07-26,16.0
1978-08-09,14.0
1978-08-23,14.0
1978-09-13,21.0
1978-10-04,21.0
1978-10-23,19.0
1978-11-06,14.0
1978-11-29,23.0
1978-12-19,20.0
1979-01-09,21.0
1979-01-24,15.0
1979-02-12,19.0
1979-03-06,22.0
1979-03-21,15.0
1979-04-09,19.0
1979-05-01,22.0
1979-05-18,17.0
1979-06-11,24.0
1979-06-28,17.0
1979-07-18,20.0
1979-08-07,20.0
1979-08-23,16.0
1979-09-14,22.0
1979-10-03,19.0
1979-10-18,15.0
1979-11-07,20.0
1979-11-26,19.0
1979-12-07,11.0
1979-12-21,14.0
1980-01-09,19.0
1980-01-21,12.0
1980-01-30,9.0
1980-02-11,12.0
1980-02-25,14.0
1980-03-07,11.0
1980-03-20,13.0
1980-04-02,13.0
1980-04-18,16.0
1980-05-05,17.0
1980-05-19,14.0
1980-06-02,14.0
1980-06-17,15.0
1980-07-03,16.0
1980-07-17,14.0
1980-07-31,14.0
1980-08-13,13.0
1980-08-29,16.0
1980-09-12,14.0
1980-09-23,11.0
1980-10-06,13.0
1980-10-20,14.0
1980-11-03,14.0
1980-11-13,10.0
1980-11-25,12.0
1980-12-09,14.0
1980-12-22,13.0
1981-01-08,17.0
1981-01-23,15.0
1981-02-09,17.0
1981-02-25,16.0
1981-03-11,14.0
1981-03-24,13.0
1981-04-07,14.0
1981-04-20,13.0
1981-05-04,14.0
1981-05-19,15.0
1981-06-02,14.0
1981-06-15,13.0
1981-07-01,16.0
1981-07-20,19.0
1981-08-05,16.0
1981-08-21,16.0
1981-09-09,19.0
1981-09-24,15.0
1981-10-06,12.0
1981-10-21,15.0
1981-11-03,13.0
1981-11-18,15.0
1981-12-03,15.0
1981-12-18,15.0
1982-01-08,21.0
1982-01-20,12.0
1982-01-29,9.0
1982-02-10,12.0
1982-02-24,14.0
1982-03-04,8.0
1982-03-11,7.0
1982-03-23,12.0
1982-04-02,10.0
1982-04-15,13.0
1982-04-26,11.0
1982-05-06,10.0
1982-05-18,12.0
1982-06-02,15.0
1982-06-14,12.0
1982-06-24,10.0
1982-07-06,12.0
1982-07-13,7.0
1982-07-20,7.0
1982-07-29,9.0
1982-08-09,11.0
1982-08-17,8.0
1982-08-23,6.0
1982-08-27,4.0
1982-09-03,7.0
1982-09-14,11.0
1982-09-22,8.0
1982-09-30,8.0
1982-10-06,6.0
