,model_top4_equal,model_top4_riskadjusted,model_top4_threshold,model_top4_propweights,model_longshort,bench_momentum,bench_momentum_input,bench_equalweight
2025-01-02,99.6384,99.5155,99.6384,99.6351,100.1754,99.9708,99.3525,99.7034
2025-01-03,100.3911,99.9387,100.3911,100.4095,100.5981,100.0824,99.6171,100.1093
2025-01-06,98.3849,98.1536,98.3849,98.3982,99.0422,98.7181,99.2531,99.4521
2025-01-07,97.9777,98.555,97.9777,98.028,98.4688,97.9194,99.9667,99.6667
2025-01-08,98.3496,98.1876,98.3496,98.3957,97.5566,97.645,99.7456,99.8121
2025-01-10,97.6427,97.1208,97.6427,97.6591,97.5639,97.2759,99.9056,99.0253
2025-01-13,98.473,97.9645,98.473,98.4977,98.3982,97.7351,100.3745,99.6635
2025-01-14,98.9814,98.5306,98.9814,99.011,97.9698,98.0461,100.6471,100.3409
2025-01-15,99.0424,98.4902,99.0424,99.0736,97.5504,97.6761,101.2109,100.6842
2025-01-16,100.4288,99.4063,100.4288,100.3874,97.7849,98.3079,102.4861,101.5358
2025-01-17,100.5037,99.648,100.5037,100.4888,97.1158,98.1351,103.2388,102.0561
2025-01-21,101.4438,100.2007,101.4438,101.4257,97.1306,99.4571,104.91,102.9469
2025-01-22,100.1587,99.5923,100.1587,100.1657,95.9968,98.6767,104.3171,102.3093
2025-01-23,100.6168,100.2094,100.6168,100.6141,95.7655,99.3823,106.7998,103.21
2025-01-24,100.2972,100.2926,100.2972,100.3081,94.6671,99.1645,106.117,102.985
2025-01-27,102.1696,103.1655,102.1696,102.1748,96.3161,101.0429,107.9366,104.4476
2025-01-28,100.0645,101.1086,100.0645,100.041,95.0066,99.7279,107.1885,103.2092
2025-01-29,99.0476,100.183,99.0476,98.8708,94.7498,100.2769,106.806,103.0346
2025-01-30,99.8278,100.6461,99.8278,99.635,92.5537,101.1105,108.8638,104.3225
2025-01-31,99.8902,100.6525,99.8902,99.7422,93.5185,100.9974,108.1032,103.5009
2025-02-03,99.9543,101.2833,99.9543,99.8232,92.6028,101.697,108.2989,103.8443
2025-02-04,99.7767,101.4297,99.7767,99.6852,93.3761,101.6469,107.9784,103.4161
2025-02-05,99.8276,101.8542,99.8276,99.7449,92.7032,101.5437,109.7813,103.9742
2025-02-06,98.256,101.3677,98.256,98.1788,91.1108,100.3664,110.4286,103.693
2025-02-07,97.6608,101.1068,97.6608,97.6009,90.6145,99.5769,109.806,103.3278
2025-02-10,98.6902,101.9376,98.6902,98.6553,91.7793,99.6719,110.243,103.7361
2025-02-11,98.5925,102.6068,98.5925,98.5719,90.9596,99.3587,111.332,104.3799
2025-02-12,97.711,101.675,97.711,97.5977,90.727,99.5887,112.2999,103.8291
2025-02-13,97.9917,101.8186,97.9917,97.7241,90.7005,100.2814,111.988,104.2703
2025-02-14,97.1036,99.8226,97.1036,96.7884,90.6287,100.0678,111.857,103.6865
2025-02-18,97.8394,100.0357,97.8394,97.4569,91.2523,100.8765,112.299,104.2173
2025-02-19,98.8002,101.1052,98.8002,98.4047,91.1989,101.9053,113.3019,105.1845
2025-02-20,99.4208,102.178,99.4208,99.0782,92.1392,101.2673,112.9147,105.2156
2025-02-21,99.9087,103.0632,99.9087,99.472,93.5559,101.5807,111.8237,104.9024
2025-02-24,100.021,103.7715,100.021,99.6529,93.3947,101.7862,112.602,105.3392
2025-02-25,100.9921,105.2004,100.9921,100.6719,94.0569,102.1303,113.1814,105.7274
2025-02-26,100.1906,103.9047,100.1906,99.867,93.4774,101.5553,111.9605,105.0067
2025-02-27,100.4231,104.4665,100.4231,100.1612,93.92,101.3768,111.7178,105.1197
2025-02-28,101.5546,105.4224,101.5546,101.243,94.2304,102.9859,113.0679,106.0829
2025-03-03,102.3935,106.8848,102.3935,102.108,96.0072,102.0192,112.4469,105.3652
2025-03-04,100.4778,105.4089,100.4778,100.2437,96.5105,100.1388,109.1758,103.1422
2025-03-05,101.8109,106.6686,101.8109,101.7194,97.6599,100.2394,109.874,103.6645
2025-03-06,102.3236,107.4548,102.3236,102.3037,99.1463,99.7132,108.0958,103.5221
2025-03-07,104.4031,108.8683,104.4031,104.3868,99.136,101.8869,107.7259,104.941
