,model_top4_equal,model_top4_riskadjusted,model_top4_threshold,model_top4_propweights,model_longshort,bench_reversion_zscore_90d,bench_reversion_zscore_input,bench_reversion_longshort,bench_equalweight
2025-01-02,99.6384,99.5155,99.6384,99.6351,100.1754,99.482,99.5594,100.2043,99.7034
2025-01-03,100.3911,99.9387,100.3911,100.4095,100.5981,100.3052,99.9885,101.3242,100.1093
2025-01-06,98.3849,98.1536,98.3849,98.3982,99.0422,99.9965,98.4804,101.7323,99.4521
2025-01-07,97.9777,98.555,97.9777,98.028,98.4688,100.3477,98.5359,102.5346,99.6667
2025-01-08,98.3496,98.1876,98.3496,98.3957,97.5566,99.9568,98.9281,102.4803,99.8121
2025-01-10,97.6427,97.1208,97.6427,97.6591,97.5639,99.2915,97.3852,101.9184,99.0253
2025-01-13,98.473,97.9645,98.473,98.4977,98.3982,99.7699,97.3483,102.2475,99.6635
2025-01-14,98.9814,98.5306,98.9814,99.011,97.9698,100.2468,97.6747,102.8797,100.3409
2025-01-15,99.0424,98.4902,99.0424,99.0736,97.5504,100.7093,97.9914,103.9971,100.6842
2025-01-16,100.4288,99.4063,100.4288,100.3874,97.7849,101.6625,98.9049,104.2534,101.5358
2025-01-17,100.5037,99.648,100.5037,100.4888,97.1158,101.9814,99.3411,104.4194,102.0561
2025-01-21,101.4438,100.2007,101.4438,101.4257,97.1306,102.8713,99.8093,103.5501,102.9469
2025-01-22,100.1587,99.5923,100.1587,100.1657,95.9968,101.5672,100.1563,102.9302,102.3093
2025-01-23,100.6168,100.2094,100.6168,100.6141,95.7655,101.9679,101.1898,102.3594,103.21
2025-01-24,100.2972,100.2926,100.2972,100.3081,94.6671,101.2525,100.5915,101.7423,102.985
2025-01-27,102.1696,103.1655,102.1696,102.1748,96.3161,104.275,101.2466,103.448,104.4476
2025-01-28,100.0645,101.1086,100.0645,100.041,95.0066,102.2701,100.169,101.8429,103.2092
2025-01-29,99.0476,100.183,99.0476,98.8708,94.7498,100.9753,100.4438,100.6308,103.0346
2025-01-30,99.8278,100.6461,99.8278,99.635,92.5537,102.3099,104.5994,100.623,104.3225
2025-01-31,99.8902,100.6525,99.8902,99.7422,93.5185,101.9271,103.8913,100.7457,103.5009
2025-02-03,99.9543,101.2833,99.9543,99.8232,92.6028,101.9524,104.9065,100.0229,103.8443
2025-02-04,99.7767,101.4297,99.7767,99.6852,93.3761,102.1243,105.205,100.3178,103.4161
2025-02-05,99.8276,101.8542,99.8276,99.7449,92.7032,103.2277,105.6184,100.5771,103.9742
