model_name,input_window,output_window,MAE_train,MAE_val,MAE_test,epochs,n_params,best_epoch,best_val_loss,best_min_pred_std,best_first_last_diff,best_pair_ratio
mlp_3x200_relu,5,1,0.0115897807620985,0.009016728028655,0.0122727337529038,200,108454,,,,,
mlp_4x100_gelu_dropout_l2,5,5,0.005283365527276,0.0041514902180361,0.0055984676149813,289,44454,259.0,0.0041929171420633,0.0001038122936733,0.0007455843733623,1.0
mlp_4x100_gelu_dropout_l2,5,30,0.0021541715188525,0.0017009645396594,0.0023199017980025,328,44454,232.0,0.0017240450251847,1.147753891928005e-06,3.492818450467894e-06,1.0
mlp_4x100_gelu_dropout_l2,5,90,0.0012363003140971,0.000933052894919,0.001267758750295,431,44454,210.0,0.0010260173585265,1.0139800679098698e-06,3.291062057542149e-06,1.0
mlp_2x100_dropout,10,1,0.0115896366957097,0.0090192966163158,0.0122698193058895,200,35984,,,,,
mlp_2x100_dropout,10,5,0.0053626907848559,0.0041564060375094,0.0056091277473807,200,35984,,,,,
mlp_4x100_gelu_dropout_l2,10,30,0.0021363503911029,0.0016954195475696,0.002319482087579,372,56184,342.0,0.0017074128845706,6.453050445998088e-05,2.272726305818651e-05,1.0
mlp_4x100_gelu_dropout_l2,10,90,0.0012358510321574,0.0009326886229589,0.0012678106468304,446,56184,210.0,0.0010645319707691,1.0991930139425676e-06,1.0430657312099356e-05,1.0
mlp_3x200_relu,30,1,0.011593755289128,0.0090236524119973,0.0122821260251444,200,224604,,,,,
mlp_2x100_dropout,30,5,0.0053627855826588,0.0041518015787005,0.0056113870939054,200,82904,,,,,
mlp_4x100_gelu_dropout_l2,30,30,0.001988800683545,0.0017025199431102,0.0023599672589419,290,103104,260.0,0.0017839987995103,0.0002677721204236,0.0005928846658207,1.0
mlp_4x100_gelu_dropout_l2,30,90,0.0011957001336355,0.0009302903695094,0.0012852879737571,303,103104,273.0,0.0009600733174011,8.979886479210109e-05,5.7993958762381226e-05,1.0
mlp_2x100_dropout,90,1,0.0116032595844883,0.0090324496850371,0.0122930463168885,200,223664,,,,,
mlp_2x100_dropout,90,5,0.0053705847805058,0.0041704340837895,0.0056231804309557,200,223664,,,,,
mlp_2x100_dropout,90,30,0.0022162837085843,0.0017784192459657,0.0023970902638962,200,223664,,,,,
mlp_2x100_dropout,90,90,0.0013311598634458,0.0010375784477218,0.0013894916808771,200,223664,,,,,
