bar_type,input_window,1,5,30,90
count,5,4043,4039,4014,3954
count,10,4038,4034,4009,3949
count,30,4018,4014,3989,3929
count,90,3958,3954,3929,3869
dollar,5,2980,2976,2951,2891
dollar,10,2975,2971,2946,2886
dollar,30,2955,2951,2926,2866
dollar,90,2895,2891,2866,2806
time,5,16190,16186,16161,16101
time,10,16185,16181,16156,16096
time,30,16165,16161,16136,16076
time,90,16105,16101,16076,16016
volume,5,3363,3359,3334,3274
volume,10,3358,3354,3329,3269
volume,30,3338,3334,3309,3249
volume,90,3278,3274,3249,3189
